route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
22R-202,8543-727fd737,Aspen Street,13,0.3118164381545269,0.7166666666666667
22R-202,1561-ef0d367d,Avondale Rest Home & Hospital,14,0.1262180727078318,0.3
22R-202,1441-3c2cada5,Avondale Shops,15,0.15297107722683517,0.35
22R-202,8539-95afc972,Stop C Avondale,16,0.20776839224958366,0.5833333333333334
22R-202,8537-f93532cb,Rosebank Road/Roberton Road,17,0.12697857423427444,0.5333333333333333
22R-202,8334-d261b935,Avondale Islamic Centre,18,0.2640687983957961,1.1833333333333333
22R-202,8243-5e4fe57d,Soljak Place,19,0.41037418075669196,1.1166666666666667
22R-202,8241-19deb6c4,PAK'nSAVE Mount Albert,20,0.6172513730400089,1.6666666666666667
22R-202,8237-96e22f8b,Elim Christian College,21,0.18962769671965404,0.55
22R-202,8235-84061054,1028 New North Road,22,0.362778163195315,0.9833333333333333
22R-202,8233-06339fbb,Mount Albert Station,23,0.2797346698036651,0.7833333333333333
22R-202,8231-3cb68f51,Lloyd Avenue,24,0.2563909261138644,0.7166666666666667
22R-202,8229-e4b26a1c,Ferndale House,25,0.22797559088699146,0.6333333333333333
22R-202,8227-eed5a8ab,Alice Wylie Reserve,26,0.3775948644162546,1.0666666666666667
22R-202,8225-7506b2fe,Mount Albert War Memorial Reserve,27,0.2134915059215607,0.7
22R-202,8863-401d9e85,New North Road,28,0.480097592456925,1.6666666666666667
22R-202,8861-bb392a46,Morningside Drive/St Lukes Mall,29,0.4559026134541974,1.2666666666666666
22R-202,7209-576cfe61,Leslie Avenue,30,0.5260188614585928,1.4833333333333334
22R-202,8215-a473457b,Morningside Shops,31,0.3998852555301273,1.1
22R-202,8213-7e021a72,Kingsland Avenue,32,0.4273369134298388,1.1666666666666667
22R-202,8211-8a4f4ede,Kingsland Shops,33,0.3111889869413785,0.9166666666666666
22R-202,8207-92af29ca,King Street,34,0.22609315088823845,0.6333333333333333
22R-202,8205-eda192d2,George Street,35,0.6342218427583631,1.7333333333333334
22R-202,8203-432ece34,Mount Eden,36,0.2534692222802971,0.7166666666666667
22R-202,8201-82996d6d,Mount Eden Road,37,0.36113979603665924,1.0166666666666666
22R-202,7151-93995941,Symonds Street/Upper Symonds Street,38,0.6135198185194526,1.6666666666666667
22R-202,7149-6d6d1e99,Symonds Street/Karangahape Road,39,0.36842145345537264,1.0166666666666666
22R-202,7143-d5592a9b,Stop D Auckland Universities,40,0.47612478439702116,0.7833333333333333
22R-202,7006-35b88bbe,Lorne Street,41,0.3460532020362805,1.5666666666666667
22R-202,7040-82504c06,Wellesley Street/Hobson Street,42,0.2244049473046164,0.8
22R-202,1090-90cb0d20,Nelson Street,43,0.22176106232342005,0.95
22R-202,7105-dec99d20,Dock Street,44,,
135-206,5085-f207213e,Totara Road/Te Atatu Road,27,5.923987734314143,
149-206,5471-4fa4bf72,Swanson Road/Arney Road,1,0.4917388428174617,1.3333333333333333
149-206,1573-d3ee1bfb,Bahari Drive,2,0.39256829483029076,1.0333333333333334
149-206,1575-fce76d2f,Carwen Place,3,0.30698772097073185,0.85
149-206,5780-55aca7e3,12 Universal Drive,4,0.25851463759959775,0.6666666666666666
149-206,5782-a5d103c4,Lincoln Garden Close,5,0.22798855713745791,0.6
